Epoch,Train_Acc,Val_Acc,Train_Loss,Val_Loss
0,0.9256948,0.5000885128974915,0.23936898028783027,0.968778705381676
1,0.97638965,0.5000885128974915,0.0661251533978976,0.8877037822050128
2,0.98811734,0.5000885128974915,0.03440498489263992,0.8780936608696052
3,0.9917242,0.5000885128974915,0.024230062252658724,0.9626643509754229
4,0.9943574,0.5000885128974915,0.01665659912047945,0.8800837696073414
5,0.9956408,0.5000885128974915,0.01320197205068298,1.0718056647244503
6,0.9968357,0.5002655386924744,0.009542549409253852,0.8288343111737299
7,0.99725616,0.5029208660125732,0.008228231621090903,0.8479848438859049
8,0.9975438,0.516905665397644,0.007290830966551352,0.7352220174970405
9,0.9978536,0.5146928429603577,0.006455858682352667,0.7824869367755141
10,0.998097,0.5104443430900574,0.006073438775406896,0.8093779009619653
11,0.99792,0.5150468945503235,0.00647187094865395,0.7682616446245706
12,0.99860597,0.5352274775505066,0.005364985267026573,0.696180092051802
13,0.99847317,0.5217737555503845,0.005111156616038957,0.7258747620674588
14,0.9986945,0.5618693828582764,0.0038117750688481922,0.6787423855288933
15,0.99900424,0.5140733122825623,0.003492630551583425,0.8005103916905796
16,0.99900424,0.5107098817825317,0.003307071530048624,0.844509786674461
17,0.99896,0.5005310773849487,0.0030454738789806118,0.9948072120518279
18,0.99900424,0.5030093789100647,0.0028352595844170366,0.9422893898110196
19,0.99913704,0.510178804397583,0.003163193687506572,0.8509823256919903
