Epoch,Train_Acc,Val_Acc,Train_Loss,Val_Loss
0,0.841249,0.8722119927406311,0.37602342356171997,0.3270209055763107
1,0.8747704,0.8788594603538513,0.30123982090999224,0.29891317710964677
2,0.8778317,0.8758856058120728,0.28042799922035905,0.2675070235508796
3,0.8833202,0.8844572901725769,0.26105340820649453,0.24339230928293396
4,0.89101726,0.887955904006958,0.24463414853663726,0.23806670184816514
5,0.9000918,0.9171695709228516,0.2307505285013674,0.22229066228502684
6,0.90781075,0.9237295389175415,0.2173764846745224,0.20373429136306273
7,0.91399896,0.8832327723503113,0.2052630618661655,0.25410869851321316
8,0.91762877,0.921018123626709,0.19353054232649694,0.20516537199217036
9,0.9232048,0.940697968006134,0.182207158336664,0.15554604147254852
10,0.92910874,0.9460334181785583,0.17147317043749416,0.1553608651516434
11,0.9341599,0.9477827548980713,0.16020516598176676,0.1327588947200352
12,0.9367183,0.949444591999054,0.15174402050080288,0.1248616028593707
13,0.94172573,0.9517186880111694,0.14107307629834256,0.12362284157586455
14,0.9441529,0.9583661556243896,0.1346083237051307,0.10217919536400871
15,0.9472142,0.9613400101661682,0.1272004381940453,0.09570636392437358
16,0.9509315,0.9660631418228149,0.12023638977689463,0.08791160469713939
17,0.9527683,0.9673751592636108,0.11359489511812201,0.08230828110388985
18,0.9557859,0.9729729890823364,0.1092198320371131,0.0789499611149912
19,0.9579288,0.968687117099762,0.10340042055620251,0.079469390850826
20,0.95939386,0.9754220247268677,0.10017995658190265,0.07075012140422421
21,0.961821,0.9758593440055847,0.09557787331109033,0.06772001849308702
22,0.9638546,0.9753345847129822,0.09042773176553857,0.06760039045001738
23,0.9649917,0.9776961207389832,0.0882200044813999,0.06561745723617741
24,0.966413,0.979008138179779,0.08466453414430229,0.0603381310306378
25,0.96866524,0.982944130897522,0.08130091224391973,0.05205931467190092
26,0.96932125,0.983381450176239,0.07783809287163526,0.05140083951444323
27,0.9712893,0.9849558472633362,0.07536805100425548,0.05030834018535046
28,0.97065514,0.9817196130752563,0.07539742418219388,0.05214125532381576
29,0.9720983,0.9837313294410706,0.07261889825095177,0.05156913907512753
30,0.97299486,0.9842560887336731,0.0691885978806538,0.048796764790730286
31,0.97378206,0.9840811491012573,0.06754824389572178,0.04480293262995917
32,0.9753346,0.9853931665420532,0.06462633111763008,0.045005553914140364
33,0.97520334,0.9862678050994873,0.06356033765259851,0.04150192841573368
34,0.9763623,0.9852182269096375,0.0625339944525246,0.04482746488781027
35,0.9764716,0.9856555461883545,0.061847248765259794,0.04125910067192309
36,0.97808975,0.9827691912651062,0.05937553949176426,0.04834879873921466
37,0.9776743,0.9870550036430359,0.05764624098169045,0.037760180096232984
38,0.9788988,0.9860928654670715,0.055625528155151635,0.04007525955867988
39,0.97903,0.9880171418190002,0.05578879204481843,0.037321826152918604
40,0.97878945,0.9863553047180176,0.05442603503970621,0.039522852308752965
41,0.98010147,0.9883670210838318,0.054619937192501695,0.036883486234264865
42,0.98016703,0.988192081451416,0.0542273770821962,0.03376516720367538
43,0.9799703,0.9861803650856018,0.052805645621874446,0.03930342521234665
44,0.9817852,0.9853931665420532,0.05075578404976441,0.042678832319971355
45,0.98036385,0.9881045818328857,0.05193900716070959,0.03409990280583797
46,0.98180705,0.987754762172699,0.04895850493435231,0.03466037977436344
47,0.9818289,0.9874923229217529,0.04955642726632394,0.03706468636381661
