Epoch,Train_Acc,Val_Acc,Train_Loss,Val_Loss
0,0.887812,0.2550074586941196,0.9516728520393372,0.11799941423361777
1,0.9600593,0.09994661060054232,0.9514073133468628,0.11576179531316332
2,0.97386706,0.0653376434676601,0.9811471104621887,0.0525645458011379
3,0.9815454,0.04878038788043856,0.9845105409622192,0.039281732108787555
4,0.98340416,0.04300603477864967,0.9838024377822876,0.04511844079709381
5,0.9861922,0.037932970603539874,0.9889360666275024,0.03269593262506504
6,0.98650205,0.03581535402183555,0.9854841828346252,0.040770953598289306
7,0.98900247,0.030033714407196002,0.9644184708595276,0.1159274364112858
8,0.9888033,0.03193653171071227,0.9881395101547241,0.033237956958932086
9,0.9898433,0.030377394424784043,0.9839794635772705,0.08847442199158698
10,0.98971057,0.03193999738622886,0.988316535949707,0.03570907646821471
