Epoch,Train_Acc,Val_Acc,Train_Loss,Val_Loss
0,0.8613029,0.8732519149780273,0.3635047279452619,0.2753071194149621
1,0.8713268,0.8732519149780273,0.28554398310482026,0.25619946926394316
2,0.87150383,0.8731634020805359,0.2692951110004851,0.2389823507631663
3,0.87154806,0.8733404278755188,0.2603998869699722,0.23637064520363935
4,0.8719906,0.8726323246955872,0.24843463976945807,0.23070404013715437
5,0.87161446,0.8733404278755188,0.2371090149263256,0.21528101710223121
6,0.8728536,0.8763498067855835,0.21926303397798816,0.18315151116714623
7,0.8770579,0.8872366547584534,0.20255000527125794,0.16658083444296692
8,0.8842937,0.9058240652084351,0.19522407950606255,0.16090606820121195
9,0.89303416,0.9187467098236084,0.1757664661277478,0.13705942792836745
10,0.90175253,0.9431757926940918,0.16753047980614774,0.12826780545028843
11,0.91394496,0.9585767388343811,0.15528727553759789,0.11707422132776107
12,0.916025,0.9598159193992615,0.1495626975918559,0.10712944902446675
13,0.9209595,0.9527350068092346,0.14147130417747822,0.10804927118807098
14,0.92412376,0.9556558728218079,0.1361354612530196,0.10116788195991837
15,0.93040806,0.9621171951293945,0.1270822024509999,0.09320149002380763
16,0.9325544,0.9712338447570801,0.12298419134509017,0.08322192985181324
17,0.9375111,0.9660117030143738,0.11692496311861891,0.082429256718187
18,0.9361613,0.966454267501831,0.11605580908009427,0.08278301376687845
19,0.93669236,0.9707027673721313,0.11431893698012519,0.0815801305314211
20,0.93647105,0.9727385640144348,0.11278942344483706,0.07741838479360177
21,0.93848467,0.9710568189620972,0.10881864249041533,0.07411281790292185
22,0.94021064,0.973712146282196,0.10788763100556682,0.06881754038861039
23,0.9435741,0.975836455821991,0.10287983194296921,0.06659571408624036
24,0.94536644,0.968932569026947,0.09892987425474176,0.0749988587918398
25,0.9445477,0.9770755767822266,0.101630376294126,0.06359286373324533
26,0.943906,0.9751283526420593,0.10057436151221952,0.0684036077213701
27,0.94401664,0.973889172077179,0.1009187293956925,0.06989480567323485
28,0.9438175,0.9761019945144653,0.09917568531336458,0.06679994670305237
29,0.9481103,0.9733580946922302,0.09553154242589508,0.07230802893949877
30,0.94786686,0.9710568189620972,0.09581379888714109,0.0734320790496183
