Epoch,Train_Acc,Val_Acc,Train_Loss,Val_Loss
0,0.7972657,0.8381388187408447,0.4114349984615975,0.31833813330434524
1,0.8695501,0.7853450179100037,0.2852094133428279,0.523975477099632
2,0.88443947,0.8703519701957703,0.2570036289683332,0.3327549330684247
3,0.89661944,0.8567309379577637,0.23694176172368597,0.3256319661954924
4,0.9027343,0.880791425704956,0.22220211605245782,0.2629642396317867
5,0.9061894,0.8902366161346436,0.21447597537323992,0.25573842212347414
6,0.9093463,0.8900377750396729,0.20658216782686517,0.24714478583097885
7,0.9139697,0.8967985510826111,0.19939146875861033,0.2555363357547122
8,0.9147651,0.8846689462661743,0.19705015043254637,0.27103591180388176
9,0.91657966,0.88924241065979,0.19402350550811445,0.2951994844804727
10,0.9197365,0.8968979716300964,0.18670968458319434,0.3316429705049959
11,0.9213025,0.9003778100013733,0.18345530823765777,0.2638222094344486
