Epoch,Train_Acc,Val_Acc,Train_Loss,Val_Loss
0,0.8418842,0.5022867321968079,0.4668312835020714,0.9107820141573838
1,0.9038777,0.5022867321968079,0.23758425656432924,0.8075194364040645
2,0.9254785,0.5022867321968079,0.18913151311127666,0.7756008269725677
3,0.93860304,0.5022867321968079,0.15894276748434275,0.7774227532365731
4,0.94538903,0.5022867321968079,0.13822936297514946,0.7683987748577856
5,0.95292073,0.5022867321968079,0.12419770935556351,0.8244478464434744
6,0.9555804,0.5022867321968079,0.11509362243239986,0.9716584414723711
7,0.96089983,0.5022867321968079,0.10407630140038233,1.03394446184062
8,0.96336067,0.5022867321968079,0.0968763678777049,1.031165827171635
9,0.9665921,0.5022867321968079,0.09043730019137779,1.2146039303028457
