Epoch,Train_Acc,Val_Acc,Train_Loss,Val_Loss
0,0.895806,0.9626519680023193,0.24082023761322582,0.09769760767957686
1,0.9602467,0.9706113934516907,0.09971971322868603,0.07581410442760722
2,0.974766,0.9768214821815491,0.06408918155641534,0.057783405589513094
3,0.98080117,0.9867926239967346,0.05064681196352487,0.03437459060959248
4,0.98250675,0.9867926239967346,0.045304660884691,0.03846381771011083
5,0.9860492,0.9884544610977173,0.04046051244689762,0.030665318544592056
6,0.98729557,0.9883670210838318,0.03724432235946482,0.03074138178208661
7,0.9883014,0.9919531345367432,0.03225856094919995,0.028267255121024015
8,0.98911047,0.9895040392875671,0.03212303872193581,0.03179300291373965
9,0.98926353,0.9895915389060974,0.03298969086864682,0.02825091184221738
10,0.9899851,0.992565393447876,0.03295368567528786,0.02408812201587516
11,0.99083793,0.9828566312789917,0.028532069182952202,0.04111196595983514
12,0.99180007,0.9921280741691589,0.03045610434049948,0.029367095377724032
13,0.99171257,0.9916032552719116,0.02846615526215549,0.02545670626340777
14,0.9916689,0.9944896101951599,0.02759121702018888,0.02092891099102659
15,0.9923467,0.9582786560058594,0.028103784816615757,0.32770788371250154
16,0.9928278,0.9936149716377258,0.025752081081133017,0.023167420731596586
17,0.9933963,0.9924778938293457,0.0223178947514672,0.02435003882630008
18,0.9928278,0.9895040392875671,0.026830890335759746,0.03454347942759231
19,0.99317765,0.9940522909164429,0.027340017744413886,0.02761178422348764
