Epoch,Train_Acc,Val_Acc,Train_Loss,Val_Loss
0,0.8187,0.8725507855415344,0.372561738856923,0.26412512004205585
1,0.8849674,0.8908087015151978,0.25122159102503544,0.23976244285601842
2,0.9007994,0.866850733757019,0.22375903604242117,0.2820191985990893
3,0.90834796,0.9035447239875793,0.20943924672044736,0.2231000238916056
4,0.912178,0.8950837254524231,0.19864309939195335,0.22668940084214986
5,0.9177225,0.9144994616508484,0.19114041966447004,0.2071154271426641
6,0.9198602,0.9056822061538696,0.1848886684527253,0.22849503670207622
7,0.92175287,0.9072853326797485,0.17794658756033924,0.20570893485349906
8,0.92418003,0.9029212594032288,0.17528600648611936,0.30134135687482877
9,0.9258055,0.9116494655609131,0.17101262019875293,0.23716803664812042
10,0.9260505,0.9137869477272034,0.181356690407447,0.2080937732644127
11,0.9298136,0.9159244894981384,0.16123886472351892,0.20652445685217974
12,0.93135005,0.9143213629722595,0.16103783216906517,0.2074299982201811
